_,,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4, 2022.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,01003,182265,ND,ND,ND,ND,0.056,ND,7.3,15,ND
Alabama,Clay County,01027,13932,ND,ND,ND,ND,ND,ND,6.8,16,ND
Alabama,Colbert County,01033,54428,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,DeKalb County,01049,71109,ND,ND,ND,ND,0.058,ND,7.7,18,ND
Alabama,Elmore County,01051,79303,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Alabama,Escambia County,01053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,01055,104430,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Alabama,Houston County,01069,101547,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Jefferson County,01073,658466,1,ND,10,42,0.064,104,12.6,30,13
Alabama,Madison County,01089,334811,ND,ND,ND,ND,0.061,36,7.5,17,ND
Alabama,Mobile County,01097,412992,ND,ND,ND,ND,0.057,ND,7.7,16,11
Alabama,Montgomery County,01101,229363,ND,ND,ND,ND,0.061,22,7.9,18,ND
Alabama,Morgan County,01103,119490,ND,ND,ND,ND,0.059,ND,9,21,ND
Alabama,Pike County,01109,32899,ND,0.09,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,01113,52947,ND,ND,ND,ND,0.058,ND,9.8,28,ND
